reskind,reshard,resdept.l,resdept.r,resdept.h,resdepb.l,resdepb.r,resdepb.h,resthk.l,resthk.r,resthk.h,cokey,corestrictkey
Paralithic bedrock,Moderately cemented,102,107,152,NA,NA,NA,NA,NA,NA,14896861,4000876
Paralithic bedrock,Moderately cemented,102,107,152,NA,NA,NA,NA,NA,NA,14896863,4000877
Paralithic bedrock,,102,127,152,NA,NA,NA,NA,NA,NA,14896872,4000880
Paralithic bedrock,,102,127,152,NA,NA,NA,NA,NA,NA,14896876,4000881
Paralithic bedrock,Moderately cemented,30,36,51,NA,NA,NA,NA,NA,NA,14896877,4000882
Paralithic bedrock,Moderately cemented,30,36,51,NA,NA,NA,NA,NA,NA,14896878,4000883
Paralithic bedrock,,102,127,152,NA,NA,NA,NA,NA,NA,14896879,4000884
Paralithic bedrock,Moderately cemented,30,36,51,NA,NA,NA,NA,NA,NA,14896880,4000885
Paralithic bedrock,Moderately cemented,30,36,51,NA,NA,NA,NA,NA,NA,14896881,4000886
Lithic bedrock,Indurated,51,84,102,NA,NA,NA,NA,NA,NA,14896889,4000892
Lithic bedrock,Indurated,51,84,102,NA,NA,NA,NA,NA,NA,14896890,4000893
Lithic bedrock,Indurated,51,84,102,NA,NA,NA,NA,NA,NA,14896891,4000894
Lithic bedrock,Indurated,0,0,0,NA,NA,NA,NA,NA,NA,14896896,4000897
Lithic bedrock,Indurated,30,43,51,NA,NA,NA,NA,NA,NA,14896897,4000898
Paralithic bedrock,Moderately cemented,51,86,102,NA,NA,NA,NA,NA,NA,14896902,4000899
Paralithic bedrock,Moderately cemented,51,86,102,NA,NA,NA,NA,NA,NA,14896903,4000900
Paralithic bedrock,Moderately cemented,51,86,102,NA,NA,NA,NA,NA,NA,14896904,4000901
Paralithic bedrock,Moderately cemented,51,86,102,NA,NA,NA,NA,NA,NA,14896905,4000902
Paralithic bedrock,Moderately cemented,51,74,102,NA,NA,NA,NA,NA,NA,14896914,4000906
Paralithic bedrock,Moderately cemented,51,74,102,NA,NA,NA,NA,NA,NA,14896915,4000907
Paralithic bedrock,Moderately cemented,51,74,102,NA,NA,NA,NA,NA,NA,14896916,4000908
Paralithic bedrock,Moderately cemented,51,91,102,NA,NA,NA,NA,NA,NA,14896920,4000911
Paralithic bedrock,Moderately cemented,51,66,102,NA,NA,NA,NA,NA,NA,14896921,4000912
Paralithic bedrock,,102,127,152,NA,NA,NA,NA,NA,NA,14896922,4000913
Paralithic bedrock,Moderately cemented,51,91,102,NA,NA,NA,NA,NA,NA,14896947,4000915
Paralithic bedrock,Moderately cemented,51,91,102,NA,NA,NA,NA,NA,NA,14896948,4000916
Paralithic bedrock,Moderately cemented,51,91,102,NA,NA,NA,NA,NA,NA,14896949,4000917
Paralithic bedrock,Moderately cemented,51,91,102,NA,NA,NA,NA,NA,NA,14896950,4000918
Lithic bedrock,Indurated,30,43,51,NA,NA,NA,NA,NA,NA,14896955,4000921
Lithic bedrock,Indurated,30,43,51,NA,NA,NA,NA,NA,NA,14896956,4000922
Strongly contrasting textural stratification,Noncemented,23,36,43,NA,NA,NA,NA,NA,NA,14897000,4000930
Lithic bedrock,Indurated,102,127,152,NA,NA,NA,NA,NA,NA,14897001,4000931
Strongly contrasting textural stratification,Noncemented,23,36,43,NA,NA,NA,NA,NA,NA,14897003,4000932
Paralithic bedrock,Moderately cemented,25,33,51,NA,NA,NA,NA,NA,NA,14897011,4000933
Paralithic bedrock,Moderately cemented,25,33,51,NA,NA,NA,NA,NA,NA,14897012,4000934
Abrupt textural change,,25,38,49,NA,NA,NA,NA,NA,NA,14897025,4000935
Abrupt textural change,Noncemented,30,41,61,NA,NA,NA,NA,NA,NA,14897036,4000938
Paralithic bedrock,Moderately cemented,51,66,102,NA,NA,NA,NA,NA,NA,14897050,4000943
Paralithic bedrock,Moderately cemented,51,66,102,NA,NA,NA,NA,NA,NA,14897051,4000944
Paralithic bedrock,Moderately cemented,51,66,102,NA,NA,NA,NA,NA,NA,14897052,4000945
Paralithic bedrock,Moderately cemented,51,66,102,NA,NA,NA,NA,NA,NA,14897053,4000946
Paralithic bedrock,Moderately cemented,51,91,102,NA,NA,NA,NA,NA,NA,14897054,4000947
Paralithic bedrock,Moderately cemented,51,66,102,NA,NA,NA,NA,NA,NA,14897056,4000948
Paralithic bedrock,Moderately cemented,30,36,51,NA,NA,NA,NA,NA,NA,14897057,4000949
Paralithic bedrock,Moderately cemented,51,91,102,NA,NA,NA,NA,NA,NA,14897058,4000950
Paralithic bedrock,,102,127,152,NA,NA,NA,NA,NA,NA,14897059,4000951
Paralithic bedrock,Moderately cemented,51,66,102,NA,NA,NA,NA,NA,NA,14897060,4000952
Paralithic bedrock,Moderately cemented,30,36,51,NA,NA,NA,NA,NA,NA,14897061,4000953
Paralithic bedrock,Moderately cemented,51,91,102,NA,NA,NA,NA,NA,NA,14897062,4000954
Paralithic bedrock,Moderately cemented,102,140,152,NA,NA,NA,NA,NA,NA,14897066,4000955
Paralithic bedrock,,102,127,152,NA,NA,NA,NA,NA,NA,14897067,4000956
Abrupt textural change,Noncemented,13,18,30,NA,NA,NA,NA,NA,NA,14897079,4000962
Paralithic bedrock,Moderately cemented,51,91,102,NA,NA,NA,NA,NA,NA,14897090,4000967
Paralithic bedrock,,102,127,152,NA,NA,NA,NA,NA,NA,14897091,4000968
Paralithic bedrock,Moderately cemented,51,91,102,NA,NA,NA,NA,NA,NA,14897092,4000969
Paralithic bedrock,,102,127,152,NA,NA,NA,NA,NA,NA,14897093,4000970
Abrupt textural change,,38,48,76,NA,NA,NA,NA,NA,NA,14897102,4000977
Abrupt textural change,Noncemented,13,18,30,NA,NA,NA,NA,NA,NA,14897112,4000983
Lithic bedrock,Indurated,102,127,152,NA,NA,NA,NA,NA,NA,14897159,4001004
Paralithic bedrock,Moderately cemented,51,99,102,NA,NA,NA,NA,NA,NA,14897172,4001010
Lithic bedrock,Indurated,51,92,102,NA,NA,NA,NA,NA,NA,14897197,4001016
Lithic bedrock,Indurated,51,92,102,NA,NA,NA,NA,NA,NA,14897198,4001017
Lithic bedrock,Indurated,51,92,102,NA,NA,NA,NA,NA,NA,14897199,4001018
Lithic bedrock,Indurated,51,92,102,NA,NA,NA,NA,NA,NA,14897200,4001019
